"INCITS","County or equivalent","State or district","Pop Rank","2013 Pop","Core Based Statistical Area","Combined Statistical Area"
"36081","Queens County","New York","10","2,296,175","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
"36083","Rensselaer County","New York","398","159,918","Albany-Schenectady-Troy, NY Metropolitan Statistical Area","Albany-Schenectady, NY Combined Statistical Area"
"36085","Richmond County","New York","142","472,621","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
"36087","Rockland County","New York","205","320,903","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
"36089","St. Lawrence County","New York","540","111,963","Ogdensburg-Massena, NY Micropolitan Statistical Area",""
"36091","Saratoga County","New York","286","223,865","Albany-Schenectady-Troy, NY Metropolitan Statistical Area","Albany-Schenectady, NY Combined Statistical Area"
"36093","Schenectady County","New York","406","155,333","Albany-Schenectady-Troy, NY Metropolitan Statistical Area","Albany-Schenectady, NY Combined Statistical Area"
"36095","Schoharie County","New York","1391","31,844","Albany-Schenectady-Troy, NY Metropolitan Statistical Area","Albany-Schenectady, NY Combined Statistical Area"
"36097","Schuyler County","New York","1897","18,460","",""
"36099","Seneca County","New York","1294","35,409","Seneca Falls, NY Micropolitan Statistical Area","Rochester-Batavia-Seneca Falls, NY Combined Statistical Area"
"36101","Steuben County","New York","596","98,650","Corning, NY Micropolitan Statistical Area","Elmira-Corning, NY Combined Statistical Area"
"36103","Suffolk County","New York","24","1,499,738","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
"36105","Sullivan County","New York","716","76,665","",""
"36107","Tioga County","New York","976","50,243","Binghamton, NY Metropolitan Statistical Area",""
"36109","Tompkins County","New York","568","103,617","Ithaca, NY Metropolitan Statistical Area","Ithaca-Cortland, NY Combined Statistical Area"
"36111","Ulster County","New York","351","180,998","Kingston, NY Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
"36113","Warren County","New York","808","65,337","Glens Falls, NY Metropolitan Statistical Area","Albany-Schenectady, NY Combined Statistical Area"
"36115","Washington County","New York","829","63,093","Glens Falls, NY Metropolitan Statistical Area","Albany-Schenectady, NY Combined Statistical Area"
